Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Employee ID,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ATTRITION FLAG,AGE GROUP,INCOME BAND,PROMOTION RISK
31,No,Non-Travel,158,Software,7,3,Medical,1,1,3,Male,42,2,3,Developer,1,Married,1,42682,298774,2,Y,No,20,4,1,80,2,15,1,2,12,4,10,11,0,30-40,High,High Risk
19,Yes,Non-Travel,779,Hardware,43,1,Medical,1,6,2,Female,195,4,3,Research Director,3,Married,6,41552,1246560,3,Y,Yes,15,4,3,80,1,33,4,2,16,4,14,3,1,Below 30,High,High Risk
38,No,Travel_Rarely,985,Human Resources,33,5,Life Sciences,1,2,1,Female,66,2,4,Healthcare Representative,3,Single,2,45252,45252,8,Y,No,2,1,3,80,4,5,4,3,1,1,1,1,0,30-40,High,Low Risk
42,Yes,Non-Travel,934,Support,26,4,Human Resources,1,7,2,Female,80,3,5,Sales Executive,4,Divorced,7,5303,148484,3,Y,No,45,4,1,80,1,4,3,4,2,1,1,2,1,41-50,Low,Low Risk
59,Yes,Non-Travel,1273,Sales,5,2,Technical Degree,1,3,4,Female,96,1,3,Manufacturing Director,2,Married,3,46149,507639,7,Y,Yes,39,3,2,80,2,9,5,1,6,6,4,3,1,50+,High,High Risk
30,No,Travel_Rarely,380,Support,19,3,Marketing,1,8,4,Male,165,1,4,Human Resources,4,Single,8,28555,571100,2,Y,Yes,35,3,2,80,1,2,2,2,2,2,2,2,0,30-40,Medium,Low Risk
52,Yes,Travel_Rarely,480,Support,2,5,Marketing,1,4,4,Female,71,2,4,Human Resources,1,Married,4,27150,27150,4,Y,No,16,3,2,80,2,22,4,4,10,9,5,6,1,50+,Medium,High Risk
36,No,Travel_Rarely,987,Sales,33,4,Other,1,11,3,Male,159,3,1,Human Resources,3,Married,11,10587,95283,0,Y,Yes,47,4,2,80,1,38,3,4,24,19,8,6,0,30-40,Medium,High Risk
32,No,Non-Travel,543,Human Resources,7,5,Human Resources,1,5,2,Male,122,3,3,Manager,2,Divorced,5,15894,47682,6,Y,Yes,42,3,4,80,2,30,3,4,29,27,9,7,0,30-40,Medium,High Risk
24,Yes,Non-Travel,1086,Support,15,1,Marketing,1,13,4,Female,189,3,1,Manufacturing Director,4,Married,13,34153,648907,7,Y,No,17,1,3,80,1,30,2,2,15,3,8,4,1,Below 30,High,High Risk
